date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:47:35	181017/181017	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Nov%202025%2001:47:32%20GMT	https://caawn.org.sa/	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/index.html	(from )
04:47:35	109/109	---MCZ	200	added ('OK')	text/plain	date:Thu,%2013%20Nov%202025%2001:47:32%20GMT	https://caawn.org.sa/robots.txt		(from )
04:47:36	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2013%20Nov%202025%2001:47:33%20GMT	https://caawn.org.sa/xmlrpc.php	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/xmlrpc.php	(from https://caawn.org.sa/)
04:47:36	116125/116125	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Jul%202025%2011:02:48%20GMT	https://caawn.org.sa/wp-includes/css/dist/block-library/style-rtl.min.css?ver=6.8.3	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/wp-includes/css/dist/block-library/style-rtl.min32d4.css	(from https://caawn.org.sa/)
04:47:36	16639/16639	---MC-	200	added ('OK')	application/rss+xml	etag:%221cd3ee3d551f215154abc09afeca61b9%22	https://caawn.org.sa/feed/	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/feed/index.html	(from https://caawn.org.sa/)
04:47:37	87631/87631	---MCZ	200	added ('OK')	text/css	date:Tue,%2001%20Apr%202025%2010:44:40%20GMT	https://caawn.org.sa/wp-includes/css/dist/components/style-rtl.min.css?ver=6.8.3	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/wp-includes/css/dist/components/style-rtl.min32d4.css	(from https://caawn.org.sa/)
04:47:37	1467/1467	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202024%2023:55:36%20GMT	https://caawn.org.sa/wp-includes/css/dist/preferences/style.min.css?ver=6.8.3	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/wp-includes/css/dist/preferences/style.min32d4.css	(from https://caawn.org.sa/)
04:47:37	118869/118869	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Jul%202025%2011:02:48%20GMT	https://caawn.org.sa/wp-includes/css/dist/block-editor/style-rtl.min.css?ver=6.8.3	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/wp-includes/css/dist/block-editor/style-rtl.min32d4.css	(from https://caawn.org.sa/)
04:47:37	778/778	---MC-	200	added ('OK')	application/rss+xml	etag:%221cd3ee3d551f215154abc09afeca61b9%22	https://caawn.org.sa/comments/feed/	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/comments/feed/index.html	(from https://caawn.org.sa/)
04:47:37	542/542	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20May%202024%2017:39:28%20GMT	https://caawn.org.sa/wp-includes/css/dist/reusable-blocks/style-rtl.min.css?ver=6.8.3	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/wp-includes/css/dist/reusable-blocks/style-rtl.min32d4.css	(from https://caawn.org.sa/)
04:47:38	1774/1774	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Jun%202024%2011:19:30%20GMT	https://caawn.org.sa/wp-includes/css/dist/patterns/style-rtl.min.css?ver=6.8.3	E:/2/yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy/caawn.org.sa/wp-includes/css/dist/patterns/style-rtl.min32d4.css	(from https://caawn.org.sa/)
